Work_ID,Documents_Submitted,NOC_Status,Compliance_Score,Is_Duplicate_Work,Cost_Anomaly_Flag,Overall_Fraud_Risk_Score,Work_Description_Full,Inspection_Summary,Issues_Encountered
WS/MP18226/2024-2025/169059,"Site Plan,Utilization Cert,NOC",Pending,41.35,False,False,11.23,Installation work of a semi high mast light 6 way near Devraha Dev Sthan intersection in Gram Panchayat Parsehra Bujurg.,Standard inspection passed,
WS/MP18226/2024-2025/169060,"Utilization Cert,Site Plan",Pending,83.56,False,False,30.73,Installation work of a semi high mast light 6 way near Uttam Bhaiya Saraswati Vigha Mandir intersection in Gram Panchayat Kotri.,Standard inspection passed,
WS/MP18226/2024-2025/169061,"NOC,Site Plan,Utilization Cert",Pending,87.13,False,False,71.31,Installation work of a semi high mast light 6way near Lord Buddha Temple intersection in Gram Panchayat Bhaduri.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169062,Utilization Cert,Received,76.41,False,False,92.6,Installation work of a semi high mast light 6 way near the masjid intersection in village Gopalapur of Gram Panchayat Bhaduri.,Standard inspection passed,
WS/MP18226/2024-2025/169063,"NOC,Utilization Cert",Pending,49.97,False,False,56.22,Installation work of a semi high mast light 6 way near the intersection in Bhadura Bazaar of Gram Panchayat Shankarpur.,Standard inspection passed,
WS/MP18033/2025-2026/169066,"Site Plan,Utilization Cert",Pending,96.85,False,False,54.24,"Installation of hand pump at common place in village Masautha Khurd in Public Place near the house Smt. Besakhi Manjhi, Block-Manpur",Standard inspection passed,
WS/MP18033/2025-2026/169067,"NOC,Utilization Cert,Site Plan",Pending,43.65,False,False,41.34,"Installation of Hand Pump at common place in Village Rasuna (in Public place near the house of Shri Vikas Manjhi) Panchayat-Gere, Block-Manpur",Issues found on site,"Weather delays, Vendor issues"
WS/MP18033/2025-2026/169068,Site Plan,Received,47.12,False,False,46.56,"Installation of Hand Pump at Public Place in Village Baijal Tetariya, near the house of Sintu Manjhi, Panchayat, Titariya, Block-Manpur",Standard inspection passed,
WS/MP18033/2025-2026/169070,"Site Plan,NOC,Utilization Cert",Received,68.33,False,False,37.88,"Installation of Hand Pump in Public Place near in Village Dohari near the house of Shri Shivratan Manjhi in Panchayat-Sanaut, Manpur Block",Standard inspection passed,
WS/MP18226/2024-2025/169071,"Utilization Cert,NOC,Site Plan",Received,57.46,False,False,22.12,Installation work of a semi high mast light 6way near Pehalwan Baba intersection in Gram Panchayat Koraiya Mufarat.,Standard inspection passed,
WS/MP18226/2024-2025/169072,"Utilization Cert,Site Plan",Received,43.72,False,False,23.39,Installation work of a semi high mast light 6 way near Anup Verma house Tirahe in village Lakshman Nagar of Gram Panchayat Siyathu.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169073,"Site Plan,Utilization Cert",Pending,69.33,False,False,42.53,Installation work of a semi high mast light 6 way near the market intersection in Gram Panchayat Baragaon.,Standard inspection passed,
WS/MP18226/2024-2025/169074,Site Plan,Received,73.33,False,False,34.89,Installation work of a semi high mast light 6way near Nag Baba Sthan Bazar intersection in Gram Panchayat Patrasi.,Issues found on site,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169075,"Site Plan,Utilization Cert,NOC",Received,73.81,False,False,32.88,Installation work of a semi high mast light 6way near Surendra Verma house intersection in village Muradnagar of Gram Panchayat Patrasi.,Standard inspection passed,
WS/MP18226/2024-2025/169076,"Site Plan,NOC,Utilization Cert",Pending,54.68,False,False,10.65,Installation work of a semi high mast light 6way near Devi Mandir intersection in Gram Panchayat Hindolna village Gungepur.,Issues found on site,
WS/MP18226/2024-2025/169077,"NOC,Utilization Cert,Site Plan",Pending,81.45,False,False,51.41,Installation work of a semi high mast light 6 way near village Chandrika Gaudhi Shiv Mandir intersection of Gram Panchayat Odara.,Issues found on site,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169078,"Utilization Cert,NOC",Pending,74.84,False,False,81.18,Installation work of a semi high mast light 6way near the intersection of market temple in Gram Panchayat Korara.,Standard inspection passed,
WS/MP18226/2024-2025/169079,Site Plan,Not_Required,54.47,False,False,20.96,Installation work of a semi high mast light 6 way near the Shiva temple of Gram Panchayat Maujmabad,Standard inspection passed,
WS/MP18226/2024-2025/169080,"NOC,Site Plan,Utilization Cert",Not_Required,47.46,False,False,32.87,Installation work of a semi high mast light 6 way near village Nakaha Pipri Gurudwara intersection of Gram Panchayat Chapartala.,Issues found on site,
WS/MP18054/2025-2026/169081,"Site Plan,NOC",Not_Required,54.31,False,True,84.56,In Vishnupura primary school  for Educational purpose given to cup board with mirror in Vishnupura (Kharvada) Village,Standard inspection passed,
WS/MP18033/2025-2026/169082,Site Plan,Not_Required,63.64,False,False,30.32,"Installation of Hand Pump at Public Place in Village Koilipur (near the house of Shri Musafir Manjhi), Panchayat-Sonaut, Block Manpur",Standard inspection passed,
WS/MP18033/2025-2026/169084,Utilization Cert,Received,71.89,False,False,54.95,"Installation of Hand Pump in Public Place in Village Karhari (near the house of Shri Videsh Manjhi) Panchayat-Kaiya, Block-Manpur",Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18033/2025-2026/169085,"Site Plan,Utilization Cert",Not_Required,77.61,False,False,29.35,"Installation of Hand Pump in public place in  Village Alipur (near the house of Titar Devi wife of Shri Naresh Manjhi), Panchayat-Sadipur",Standard inspection passed,
WS/MP18033/2025-2026/169086,Site Plan,Pending,56.12,False,False,53.7,"installation of hand pump in public Place in village Shahayapur (near the house of Shri Munna Manjhi), Panchayat-Sohaipur, Block Manpur",Standard inspection passed,
WS/MP18033/2025-2026/169088,Utilization Cert,Received,82.01,False,True,89.73,Installation of Hand Pump at Public Place in Village Jamari (near the house of Shri Gautam Manjhi) Panchayat-Nama,Standard inspection passed,
WS/MP18033/2025-2026/169089,"NOC,Utilization Cert",Pending,41.96,False,False,79.62,"Installation of Hand Pump at Public Place in Village Siddharth Nagar (Naya Bigha, Ward-16 near the house of Shri Sujeet Manjhi) Block-Bodhgaya",Standard inspection passed,
WS/MP18033/2025-2026/169091,NOC,Received,89.82,False,False,49.22,"Installation of hand pump in village Beldih (Mahadalit Tola) Panchayat-Shrirampur, Block Sherghati",Standard inspection passed,
WS/MP18033/2025-2026/169092,Utilization Cert,Not_Required,55.72,False,False,23.08,"Installation of Hand Pump at Public Place in Village Ghangri (in Mahadalit Tola) in Panchyat-Dhab Chiraiya, Block-Sherghati",Issues found on site,"Weather delays, Vendor issues"
WS/MP18270/2026-2027/169094,"Utilization Cert,NOC",Pending,41.89,False,False,36.57,Construction work of C.C. interlocking tiles from the house of Ajit Kashpay of village Rampur Moti of development block Rohta to the house of Manoj son of Ramdas,Standard inspection passed,
WS/MP654/2024-2025/169095,"Utilization Cert,NOC",Pending,84.52,True,False,46.19,About 600 meter on Population Route C.C. Road construction work. Implementing Agency - Gram Panchayat,Standard inspection passed,
WS/MP654/2024-2025/169096,Site Plan,Received,84.21,False,False,29.43,Community Building construction work near Badi Madhiya. Implementing Agency - Gram Panchayat,Issues found on site,"Weather delays, Vendor issues"
WS/MP654/2025-2026/169097,"Utilization Cert,NOC",Pending,93.6,False,False,98.47,Room Construction work in Bus stand commercial complex. Implementing Agency - Gram Panchayat.,Standard inspection passed,
WS/MP351/2025-2026/169099,"NOC,Site Plan,Utilization Cert",Pending,80.86,False,False,45.38,Valiyaveettil Padi-Thoppilayi Colony-Road-Concreting-Chengalai Grama Panchayath-Ward-5,Standard inspection passed,
WS/MP819/2024-2025/169100,"Site Plan,NOC,Utilization Cert",Pending,99.23,False,False,58.62,Construction of CC Road and Nali in Mathura-Vrindavan Nagar Nigam Behind ATV Usha Kunj Colony From Krishna Property to Jay Karan House 100mtr,Standard inspection passed,
WS/MP819/2024-2025/169101,NOC,Not_Required,49.91,False,False,13.62,Construction of CC Road in Village Kilauni Block-Baldev from Baldev Mai road to Gambheer Singh House 160 mtr,Standard inspection passed,
WS/MP819/2024-2025/169102,"Utilization Cert,NOC",Pending,78.26,False,False,52.68,Construction of CC Road in Village pachawar Block-Baldev From Raghu House to Girraj Dheemar house 94 mtr,Standard inspection passed,
WS/MP819/2024-2025/169103,"Utilization Cert,NOC,Site Plan",Pending,68.85,False,False,49.65,Construction of Interlocking in Main Mathura-Sonkh Road to Babudayal Advocate Sarswati Vidhya Mandir 64 mtr,Standard inspection passed,
WS/MP819/2024-2025/169104,Site Plan,Not_Required,89.29,False,False,31.01,Construction of CC Road in Mathura-Vrindawan Nagar Nigam Jaysinghpura Ganesh dham Colony from Shyam House to Bholu House 150 mtr,Standard inspection passed,
WS/MP819/2024-2025/169105,"Site Plan,NOC",Pending,69.64,False,False,53.87,Construction of CC Road Mathura-Vrindawan Nagar Nigam Ghutiya Kunj Indradev Gurukripa from Main Road 145 mtr,Standard inspection passed,
WS/MP819/2024-2025/169106,"Site Plan,NOC,Utilization Cert",Pending,97.51,False,False,3.67,Electric Line Shifting work in Village Daghenta Kasturba Gandhi bal Vidhyalaya New Construction Work Sub Station Artoni PTW Feeder,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18021/2024-2025/169107,NOC,Not_Required,65.05,False,False,76.4,Construction of Community Hall at Sagunchara Simanta Library cum Club,Standard inspection passed,
WS/MP18021/2025-2026/169108,"Site Plan,NOC,Utilization Cert",Not_Required,94.66,False,False,18.88,Renovation of DSA Building ( Bilasipara ) Ground Floor.,Standard inspection passed,
WS/MP18021/2025-2026/169110,NOC,Not_Required,56.05,False,False,51.39,Construction of Community Hall near  Bilasipara Hajj Bhawan,Standard inspection passed,
WS/MP18021/2025-2026/169111,"Utilization Cert,NOC,Site Plan",Pending,88.34,False,False,65.03,Bamboo protection work at Namachala area,Standard inspection passed,
WS/MP18021/2025-2026/169112,"Utilization Cert,Site Plan",Not_Required,63.41,False,False,34.47,Construction of wooden bridge at Chinabari Khalerpar,Issues found on site,"Weather delays, Vendor issues"
WS/MP18021/2025-2026/169113,"Utilization Cert,Site Plan,NOC",Pending,65.52,False,False,96.46,Construction of One Toilet and Rest Room near near Dhubri Harisabha,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18021/2025-2026/169114,NOC,Pending,75.51,False,False,57.42,Construction of Toilet Block near Haji Mossafir Khana Managed,Standard inspection passed,
WS/MP18021/2025-2026/169115,"Site Plan,Utilization Cert,NOC",Pending,64.9,False,True,82.78,Construction of Rest Room for pilgrim near Dhubri Kalibari,Issues found on site,
WS/MP18021/2025-2026/169116,"Site Plan,Utilization Cert",Not_Required,75.78,False,False,87.76,Renovation work of Dharmasala near Binamandir Club Gauripur,Standard inspection passed,
WS/MP18021/2024-2025/169117,"NOC,Utilization Cert",Not_Required,63.9,False,False,42.28,Porviding One Abbulance Facilities for BPHCs in Golakganj,Standard inspection passed,
WS/MP18021/2024-2025/169118,"Site Plan,NOC,Utilization Cert",Not_Required,51.92,False,False,40.87,Porviding One Abbulance Facilities for BPHCs in Raniganj,Standard inspection passed,
WS/MP18021/2024-2025/169119,"Utilization Cert,Site Plan",Pending,52.55,False,False,85.04,Porviding One Abbulance Facilities for BPHCs in Dharmasala,Standard inspection passed,
WS/MP18021/2024-2025/169120,"Utilization Cert,NOC,Site Plan",Not_Required,57.01,False,False,70.25,Porviding One Abbulance Facilities for BPHCs in Fakirganj Modal Hospital,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18021/2024-2025/169121,"Utilization Cert,NOC",Pending,71.94,False,False,55.43,Porviding One Abbulance Facilities for BPHCs in Chapar,Issues found on site,
WS/MP18021/2024-2025/169124,Utilization Cert,Pending,52.87,False,False,14.46,Porviding One Abbulance Facilities for Hatsingimari Civil Hospital,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18037/2024-2025/169125,"Site Plan,NOC,Utilization Cert",Received,97.52,False,False,3.74,Soler High Mast Pole Light at Talab,Standard inspection passed,
WS/MP18037/2024-2025/169126,Utilization Cert,Not_Required,58.43,False,False,41.7,High Mast soler Light,Issues found on site,
WS/MP18037/2024-2025/169127,NOC,Received,41.82,False,False,90.92,High Mast Soler Light,Issues found on site,"Weather delays, Vendor issues"
WS/MP18037/2024-2025/169128,"Utilization Cert,NOC,Site Plan",Received,58.79,False,False,54.43,High Mast Soler Light,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18037/2024-2025/169129,NOC,Not_Required,55.1,False,False,89.5,High Mast Soler Light,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18037/2024-2025/169130,"NOC,Site Plan",Not_Required,43.53,False,False,5.81,High Mast Soler Light,Issues found on site,
WS/MP18037/2024-2025/169131,Utilization Cert,Received,67.94,False,False,22.31,High Mast Soler Light,Issues found on site,
WS/MP18037/2024-2025/169132,"Utilization Cert,Site Plan",Received,53.81,False,False,10.4,High Mast Soler Light,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18037/2025-2026/169134,Utilization Cert,Not_Required,83.49,False,False,36.43,High Mast Soler Light,Issues found on site,
WS/MP18037/2025-2026/169135,Utilization Cert,Not_Required,95.9,False,False,23.85,High Mast Soler Light,Standard inspection passed,
WS/MP18037/2025-2026/169136,"Site Plan,NOC,Utilization Cert",Pending,50.65,False,False,94.81,High Mast Soler Light,Standard inspection passed,
WS/MP18037/2025-2026/169137,"NOC,Site Plan,Utilization Cert",Received,66.42,False,False,20.56,High Mast Soler Light,Standard inspection passed,
WS/MP18037/2025-2026/169138,Site Plan,Pending,87.42,False,False,80.49,High Mast Soler Light,Standard inspection passed,
WS/MP18393/2025-2026/169144,Utilization Cert,Received,55.96,False,False,50.11,Construction of Community hall cum Function Hall at Allipur(V) in Shivampet Mandal of Medak District,Standard inspection passed,
WS/MP18393/2025-2026/169145,Site Plan,Not_Required,71.1,False,False,6.18,Construction of Annapurneshwari Temple Building in Ward no 17 of Siddipet Town,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18393/2025-2026/169146,"NOC,Utilization Cert",Not_Required,79.69,False,False,71.13,"Left above Knee Hitech prosthesis with silicon linear with autolocking shuttle lock socket with pneumatic knee joint with carbon tube with high energy storing carbon foot with waterproof foam cover, fitment and gait training",Issues found on site,
WS/MP352/2025-2026/169147,"Site Plan,NOC",Pending,51.09,False,False,42.52,"Construction of Building for Krishi Bhavan at Ward 5, Udayamperoor GP",Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18393/2026-2027/169148,Utilization Cert,Received,59.28,False,False,44.37,Construction of Compound wall to Reddy Community Hall at Dumpalapally road in ward no 14 of Dubbak Municipality,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18393/2026-2027/169149,"Site Plan,Utilization Cert",Pending,57.32,False,False,57.0,Construction of Compound wall to Reddy Community Hall in ward no 14 in Dubbak Municipality,Standard inspection passed,
WS/MP18393/2025-2026/169150,"Utilization Cert,NOC,Site Plan",Pending,41.36,False,False,72.61,Construction of Reading room near Reddy colony at Kondapur(V) of Mirdoddi(M),Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18393/2025-2026/169151,"Site Plan,Utilization Cert,NOC",Received,83.47,False,False,47.35,Construction of Reading room in SC Colony at Kondapur(V) of Mirdoddi Mandal,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18393/2025-2026/169152,"NOC,Utilization Cert,Site Plan",Not_Required,72.09,False,False,55.17,Construction of Swarnakara Sangam at Dubbak Town,Standard inspection passed,
WS/MP18352/2025-2026/169153,Utilization Cert,Received,60.67,False,False,32.5,madhuban vidhan sabha ke vikash khand dhorighat me nai bazar chauk ke chaurahe par,Standard inspection passed,
WS/MP18226/2024-2025/169155,NOC,Not_Required,57.21,False,False,1.14,Installation work of a semi high mast light 6 way at the intersection of the Devi temple near Shri Shatruhan Lal in village panchayat Kolhauri,Standard inspection passed,
WS/MP18226/2024-2025/169156,Site Plan,Pending,77.64,False,False,53.1,Installation work of a semi high mast light 6way near Haji Masjid intersection in Gram Panchayat Padaria.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169157,"Utilization Cert,Site Plan",Pending,43.22,False,False,72.08,Installation work of a semi high mast light 6 way near the intersection of Jhala of Majra Liloti Ma. Trilok Singh ji of Gram Panchayat Pipra Marora.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169158,NOC,Pending,41.48,False,False,11.47,Installation work of a semi high mast light 6 way near the masjit  intersection in Gram Panchayat Sunderwal.,Standard inspection passed,
WS/MP18226/2024-2025/169159,Site Plan,Received,47.51,False,False,3.87,Installation work of a semi high mast light 6 way at the intersection near Phool Singh house in Gram Panchayat Belhan.,Standard inspection passed,
WS/MP18226/2024-2025/169160,Utilization Cert,Pending,93.69,False,False,11.33,Installation work of a semi high mast light 6 way at the intersection near Ranveer Yadav house in Majra Chhoti Khabhi of Gram Panchayat Srinagar.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169161,NOC,Not_Required,53.6,False,True,38.12,Installation work of a semi high mast light 6 way near Gram Tendua Masjid intersection of Gram Panchayat Tendua.,Standard inspection passed,
WS/MP18226/2024-2025/169162,"Site Plan,NOC,Utilization Cert",Not_Required,42.86,False,False,24.76,Installation work of a semi high mast light 6 way near the masjid intersection in village Manglipurwa of Gram Panchayat Pipragum.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18352/2025-2026/169163,"NOC,Site Plan,Utilization Cert",Pending,66.35,False,False,38.7,madhuban vidhan sabha ke vikash khand dhorighat ke gram shakarpur me shailesh rai ke darwaaje par,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18352/2025-2026/169164,NOC,Pending,91.0,False,False,29.32,madhuban vidhan sabha ke vikash khand dhorighat ke gram farsara buzurg me shree prakash rai ke darwaaje par,Issues found on site,
WS/MP18352/2025-2026/169165,Utilization Cert,Received,94.85,False,False,66.49,,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18393/2024-2025/169166,"Site Plan,NOC",Not_Required,40.61,False,False,74.34,Erection of new poles and Street lights at Ankenpally Village of Sadashivpet mandal,Issues found on site,"Weather delays, Vendor issues"
WS/MP761/2024-2025/169168,"Site Plan,Utilization Cert,NOC",Not_Required,93.57,False,False,61.27,Providing LED High Mast light near Village Chourasta,Standard inspection passed,
WS/MP18352/2025-2026/169169,"NOC,Site Plan",Pending,92.03,False,False,34.15,maunath bhanjan tehsheel ke nagar panchayat kurthijafarpur me tamsa nadi pul ke pass tirahe par,Standard inspection passed,
WS/MP761/2024-2025/169170,"NOC,Site Plan,Utilization Cert",Not_Required,94.21,False,False,47.55,"Providing LED High Mast  light near Village Chourasta ,Chakradhar Thanda",Standard inspection passed,
WS/MP761/2024-2025/169171,"Site Plan,NOC",Received,46.78,False,False,78.01,"Providing LED High Mast light near Village Chourasta, Mallaram",Standard inspection passed,
WS/MP761/2024-2025/169172,"NOC,Site Plan",Received,58.36,False,False,56.38,"Providing LED High Mast light near Village Chourasta Kothapet, Malkapur (M) Nizamabad rural (M)",Standard inspection passed,
WS/MP761/2024-2025/169173,"Utilization Cert,Site Plan",Received,75.54,False,False,81.94,Providing LED High Mast light near Village Chourasta Gandhi nagar,Standard inspection passed,
WS/MP761/2024-2025/169174,"NOC,Site Plan",Received,83.75,False,False,96.37,Providing LED High Mast light near Village Chourasta,Issues found on site,
WS/MP761/2024-2025/169175,"Site Plan,Utilization Cert,NOC",Received,64.34,False,True,7.24,"Providing LED High Mast light near Anantha Padmanabha swamy temple, Malkapur A",Standard inspection passed,"Weather delays, Vendor issues"
WS/MP761/2024-2025/169176,NOC,Pending,79.93,False,False,82.55,Providing LED High Mast light near Market,Standard inspection passed,
WS/MP761/2024-2025/169177,"Utilization Cert,NOC",Pending,61.91,False,False,66.45,Providing LED High Mast light near Ramalayam,Standard inspection passed,
WS/MP761/2024-2025/169178,"Site Plan,NOC,Utilization Cert",Received,45.55,False,False,19.13,Providing LED High Mast light near Ramalayam,Issues found on site,"Weather delays, Vendor issues"
WS/MP761/2024-2025/169179,NOC,Not_Required,78.63,False,False,39.83,Providing LED High Mast light near Peddamma temple,Standard inspection passed,
WS/MP761/2024-2025/169180,"Site Plan,NOC",Received,86.54,False,False,93.67,"Providing LED High Mast light near Honnajipet Chourasta, Honnajipet (V) Dharpally (M)",Standard inspection passed,
WS/MP761/2024-2025/169181,"Utilization Cert,NOC",Received,95.92,False,True,32.3,"Providing LED High Mast light near Odderajula Vadakattu, Rekulapally (V), Dharpally (M)",Standard inspection passed,
WS/MP761/2024-2025/169182,NOC,Received,82.88,False,False,31.79,"Providing LED High Mast light near yadava Sangham, Yellareddy pally in Indalwai Mandal",Standard inspection passed,
WS/MP761/2024-2025/169183,"Site Plan,Utilization Cert,NOC",Received,89.99,False,False,67.3,Providing LED High Mast light near Mallikarjuna Mandir,Standard inspection passed,
WS/MP761/2024-2025/169185,"Site Plan,Utilization Cert",Pending,86.99,False,False,50.83,"Providing LED High Mast light near Venkateshwara Aalayam, Thirmanpally in Indalwai Mandal",Standard inspection passed,"Weather delays, Vendor issues"
WS/MP761/2024-2025/169186,"Utilization Cert,NOC",Pending,62.86,False,False,36.31,Providing LED High Mast light near Das House,Standard inspection passed,
WS/MP761/2024-2025/169189,"Site Plan,Utilization Cert",Pending,71.28,False,False,66.64,Providing LED High Mast light near GP building,Standard inspection passed,
WS/MP017/2025-2026/169191,"NOC,Utilization Cert,Site Plan",Received,76.12,False,False,5.82,Construction of Culvert at 10th ward jabar Masthan darga Road,Standard inspection passed,
WS/MP017/2025-2026/169192,"NOC,Site Plan,Utilization Cert",Not_Required,52.98,False,False,11.93,Installation of Borewell,Standard inspection passed,
WS/MP017/2025-2026/169193,"Site Plan,NOC,Utilization Cert",Not_Required,78.15,False,False,12.47,Installation of Borewell,Standard inspection passed,
WS/MP017/2025-2026/169194,"Utilization Cert,Site Plan,NOC",Pending,76.86,False,False,94.92,Construction of Culvert at 10th ward Nannumiyan Saibu street,Standard inspection passed,
WS/MP017/2025-2026/169195,"Utilization Cert,NOC",Not_Required,65.53,False,False,10.14,Installation of Borewell,Standard inspection passed,
WS/MP18148/2025-2026/169196,"Site Plan,NOC",Received,67.2,False,False,41.48,"Construction of Training Centre and bathrooms at Gopal Gou Anusandhan Kendra, Aunli",Issues found on site,"Weather delays, Vendor issues"
WS/MP761/2024-2025/169197,"NOC,Site Plan,Utilization Cert",Received,82.69,False,False,3.82,Providing LED High Mast light near GP building,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP017/2025-2026/169198,"Site Plan,Utilization Cert",Not_Required,49.25,False,False,29.42,Construction of Fair Price Shop,Standard inspection passed,
WS/MP761/2024-2025/169202,Utilization Cert,Pending,79.51,False,False,69.13,Providing LED High Mast light near Beerappa Temple,Standard inspection passed,
WS/MP761/2024-2025/169203,"Site Plan,Utilization Cert,NOC",Pending,56.46,False,False,78.85,Providing LED High Mast light in SC Wada,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP761/2024-2025/169204,"Utilization Cert,NOC,Site Plan",Not_Required,68.37,False,False,37.99,Providing LED High Mast light in Bhairapur Thanda,Standard inspection passed,
WS/MP761/2024-2025/169205,"Site Plan,Utilization Cert,NOC",Not_Required,98.31,False,False,31.09,Providing LED High Mast light in Kalpole Thanda,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18120/2025-2026/169206,"Site Plan,Utilization Cert",Pending,72.36,False,False,92.67,"CC Road and Drainage Work from Nagendra Puri Maharaj Temple to Malegaon Road at Zara, TQ. Kalamnuri Dist Hingoli",Standard inspection passed,
WS/MP761/2024-2025/169207,"NOC,Site Plan,Utilization Cert",Not_Required,82.52,False,False,51.6,Providing LED High Mast light near Hanuman Mandir,Standard inspection passed,
WS/MP18120/2025-2026/169208,"Site Plan,Utilization Cert,NOC",Pending,87.56,False,False,3.12,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,Standard inspection passed,
WS/MP761/2024-2025/169209,NOC,Pending,49.36,False,False,27.27,Providing LED High Mast light near Hanuman Mandir,Standard inspection passed,
WS/MP18120/2025-2026/169210,NOC,Pending,82.12,False,False,32.78,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,Standard inspection passed,
WS/MP761/2024-2025/169211,"NOC,Site Plan",Not_Required,80.97,False,False,2.4,"Providing LED High Mast light in Sharmik Nagar (Gudem) near Maisamma gudi, Borgaon P",Issues found on site,
WS/MP348/2025-2026/169214,"Utilization Cert,NOC",Not_Required,78.28,False,False,42.02,MINIMAST LIGHT AT PULIPARAMBU LITTLE FLOWER CHURCH JUNCTION,Issues found on site,
WS/MP18120/2026-2027/169217,"Utilization Cert,Site Plan",Pending,47.85,False,False,3.62,Link Road AT Rawangaon (Tamsa) TQ Hadgaon Dist Nanded,Standard inspection passed,
WS/MP18120/2026-2027/169218,NOC,Received,58.97,False,False,79.22,Construction of CC road At Babhali Tq. Hadgaon Dist Nanded.,Standard inspection passed,
WS/MP18226/2024-2025/169220,"NOC,Site Plan",Not_Required,56.71,False,False,11.98,Installation work of a semi high mast light 6 way near Shiv Mandir intersection in village Ramanagara of Gram Panchayat Maksoha.,Standard inspection passed,
WS/MP18226/2024-2025/169222,"Utilization Cert,Site Plan",Not_Required,89.53,False,False,78.77,Installation work of a semi high mast light 6 way near Tihulia Gunrudwara intersection of Gram Panchayat Delelnagar.,Standard inspection passed,
WS/MP18226/2024-2025/169224,NOC,Not_Required,82.37,False,False,47.06,Installation work of a semi high mast light 6 way near Atkohana Salarpur Gurudwara intersection of Gram Panchayat Sisaura.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169225,"Site Plan,Utilization Cert,NOC",Pending,67.31,False,False,34.49,Installation work of a semi high mast light 6 way near Gurudwara intersection of Ranjitpurwa of Gram Panchayat Baraula.,Standard inspection passed,
WS/MP18226/2024-2025/169226,NOC,Received,65.03,False,False,54.99,Installation work of a semi high mast light 6 way near Hargovind Dham Gurudwara intersection of Gram Panchayat Maheva.,Issues found on site,
WS/MP18226/2024-2025/169227,"Site Plan,Utilization Cert",Received,50.96,False,False,55.65,Installation work of a semi high mast light 6 way near Gurudwara Singh Sabha intersection in Gram Panchayat Sisauna.,Standard inspection passed,
WS/MP18226/2024-2025/169228,"Site Plan,Utilization Cert,NOC",Pending,82.79,False,False,86.26,Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Sada intersection of Gram Panchayat Anjanapur.,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18226/2024-2025/169229,"Utilization Cert,Site Plan,NOC",Pending,74.74,False,False,64.13,Installation work of a semi high mast light 6 way near Gurdwara Singh Sabha Nanakpurwa intersection of Gram Panchayat Maheva.,Standard inspection passed,
WS/MP18120/2026-2027/169230,"NOC,Site Plan,Utilization Cert",Pending,40.18,False,False,87.15,CC Road at Ekdhari Tq Himayatnagar Dist Nanded,Standard inspection passed,
WS/MP18120/2026-2027/169231,NOC,Pending,93.69,False,False,94.43,Construction of CC road at Niwgha Bajar Tq Hadgaon Dist nanded,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP18098/2025-2026/169237,NOC,Pending,40.24,False,False,10.58,GRAM NANDORA KE RAMATOLA SE NANDORA BASTI MARG ME PULIYA NIRMAN,Standard inspection passed,
WS/MP18190/2025-2026/169238,"NOC,Utilization Cert",Pending,96.19,False,False,81.43,Laying of CC Road from Behamalla Sailu (H) to Rapaka Ramulu (H) at Kondapalli Gopal Rao Nagar i,Issues found on site,
WS/MP18190/2025-2026/169239,"Utilization Cert,Site Plan,NOC",Received,79.04,False,False,64.62,Laying of CC Road from Kota Venkanna (H) to Macharal Dargaiah (H) at Kondapally Rao Nagar,Issues found on site,
WS/MP18098/2025-2026/169240,Utilization Cert,Pending,48.29,False,False,30.47,GRAM PANCHAYAT PANDHARWANI ME VIDYUTIKARAN KARYA,Standard inspection passed,
